"","total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
"1",6746.4536526426,"F",0,"pup","no",0,107.92,0.36,511.78,2411.712072,0.300472729912469,6.2118,432.680731073956,3.1059,2687.7261652852,0.339527270087531,495.539268926044,1539.0954153574
"2",8333.7454506235,"M",0,"pup","no",0,124.88,0.36,511.78,2981.425568,0.300857144158445,7.6792,433.234287588161,3.8396,3326.89274124701,0.339142855841555,494.985712411839,1900.5471413765
"3",9478.50456797393,"F",1,"juvenile","no",0,75.58,0.3,427.68,3114.280224,0.409837207159303,7.5984,590.165578309396,4.2741,4484.31413022612,0.290162792840697,422.154421690604,1804.33021374781
"4",11665.0453720727,"M",1,"juvenile","no",0,102.46,0.3,427.68,3830.387616,0.409416458788981,9.3456,589.559700656133,5.2569,5509.78913845195,0.290583541211019,422.760299343867,2222.40861762078
"5",9805.13874025389,"F",2,"adult","no",0,38.32,0.09,125.28,1151.3232,0.395029710028619,8.6386,568.842782441212,4.9626,4914.00526039665,0.514970289971381,745.877217558788,3701.49027985724
"6",12996.6183746785,"F",2,"adult","yes",3931,38.32,0.06,92.45,842.818576,0.282827078171941,8.6386,407.270992567596,4.9626,3518.25119639443,0.657172921828059,940.279007432404,4666.22860228405
"7",13687.5691714802,"M",2,"subadult","no",0,63.98,0.27,386.64,4680.509184,0.384821452254654,10.476,554.142891246701,6.2856,5805.20092870044,0.345178547745346,499.217108753299,3137.87905877974
"8",10690.2622544319,"F",3,"adult","no",0,20.2,0.09,125.28,1233.3816,0.431556260656839,9.2543,621.441015345848,5.3163,5751.00158831508,0.478443739343161,693.278984654152,3685.67906611687
"9",13760.889967259,"F",3,"adult","yes",3931,20.2,0.06,92.45,902.888888,0.30733681336038,9.2543,442.565011238947,5.3163,4095.62938350859,0.63266318663962,904.984988761053,4811.17169575038
"10",14691.887317314,"M",3,"adult","no",0,38.93,0.24,345.6,4960.32768,0.358885291574884,11.0209,516.794819867834,6.9201,5695.54403028141,0.401114708425116,577.605180132166,3997.08560703261
"11",11185.8298307088,"F",4,"adult","no",0,11.12,0.09,125.28,1277.856,0.451963519660399,9.588,650.827468310975,5.508,6240.13376616563,0.458036480339601,663.892531689025,3656.72006454315
