Sex,Lifestage,with pup,Behaviour,stdev_perc_time,stdev_MR
,,,,,
F,pup,no,rest,0.15,0.0355
,,,,,
F,pup,no,forage,0.16,0.2465
,,,,,
F,pup,no,activity,0.065,0.1696
,,,,,
F,juvenile,no,rest,0.166,0.1599
,,,,,
F,juvenile,no,forage,0.153,0.209
,,,,,
F,juvenile,no,activity,0.173,0.117
,,,,,
F,adult,no,rest,0.049,0.0181
,,,,,
F,adult,no,forage,0.066,0.0165
,,,,,
F,adult,no,activity,0.038,0.0208
,,,,,
F,adult,yes,rest,0.0618,0.0181
,,,,,
F,adult,yes,forage,0.0448,0.0165
,,,,,
F,adult,yes,activity,0.0185,0.0208
,,,,,
M,adult,no,rest,0.079,0.018
,,,,,
M,adult,no,activity,0.05,0.042
,,,,,
M,adult,no,forage,0.075,0.034
,,,,,
M,subadult,no,rest,0.116,0.078
,,,,,
M,subadult,no,activity,0.118,0.084
,,,,,
M,subadult,no,forage,0.116,0.127
,,,,,
M,juvenile,no,rest,0.166,0.1599
,,,,,
M,juvenile,no,forage,0.153,0.209
,,,,,
M,juvenile,no,activity,0.173,0.117
,,,,,
M,pup,no,rest,0.15,0.0355
,,,,,
M,pup,no,forage,0.16,0.2465
,,,,,
M,pup,no,activity,0.065,0.1696
