Sex,Age,Lifestage
M,0,pup
M,1,juvenile
M,2,subadult
M,3,adult
M,4,adult
M,5,adult
M,6,adult
M,7,adult
M,8,adult
M,9,adult
M,10,adult
M,11,adult
M,12,adult
M,13,adult
M,14,adult
M,15,adult
M,16,adult
M,17,adult
M,18,adult
M,19,adult
F,0,pup
F,1,juvenile
F,2,adult
F,3,adult
F,4,adult
F,5,adult
F,6,adult
F,7,adult
F,8,adult
F,9,adult
F,10,adult
F,11,adult
F,12,adult
F,13,adult
F,14,adult
F,15,adult
F,16,adult
F,17,adult
F,18,adult
F,19,adult
