"Sex","with.pup","Lifestage","Age","Parameter","Mean","Std.dev"
"F","no","adult",2,"MR_active",24.7436413883457,5.37707735284257
"F","no","adult",2,"MR_forage",23.5508174781947,6.26202924264584
"F","no","adult",2,"MR_rest",13.5444657150526,1.80397577354577
"F","no","adult",2,"act_budg_active",8.71511355905159,3.79620525217815
"F","no","adult",2,"act_budg_forage",39.7144268342309,6.49878712067245
"F","no","adult",2,"act_budg_rest",51.6004939122154,4.96899885529138
"F","no","adult",2,"growth",38.317011218939,7.65616514765248
"F","no","adult",2,"mass",18.3770249390985,0.535127892007804
"F","no","adult",3,"growth",20.2363593055118,3.75280101503111
"F","no","adult",3,"mass",19.6890830452961,0.284704692269339
"F","no","adult",4,"growth",11.1239882948902,1.9296270696554
"F","no","adult",4,"mass",20.4007846388917,0.157572383271651
"F","no","adult",5,"growth",6.39120397033111,1.01301307456574
"F","no","adult",5,"mass",20.8005158231563,0.0905271281492794
"F","no","adult",6,"growth",3.88660042520871,0.56197907798331
"F","no","adult",6,"mass",21.041111311254,0.055214533160291
"F","no","adult",7,"growth",2.4674975513402,0.31603462027507
"F","no","adult",7,"mass",21.1802111265159,0.0354237991005376
"F","no","adult",8,"growth",1.65333014452533,0.188940768843138
"F","no","adult",8,"mass",21.2801976230724,0.0238802994111021
"F","no","adult",9,"growth",1.16075354285088,0.117029911404041
"F","no","adult",9,"mass",21.3402268414843,0.0171860235973688
"F","no","adult",10,"growth",0.851148821221012,0.0748682049570848
"F","no","adult",10,"mass",21.3899299849102,0.0120957539960498
"F","no","adult",11,"growth",0.639664072496606,0.0506775075019462
"F","no","adult",11,"mass",21.4300264092183,0.00903714418019618
"F","no","adult",12,"growth",0.500520582554831,0.0349738079471632
"F","no","adult",12,"mass",21.4500347143431,0.00704389092838301
"F","no","adult",13,"growth",0.399652087968532,0.0261009570617344
"F","no","adult",13,"mass",21.469997772256,0.00608829095642673
"F","no","adult",14,"growth",0.329792424805985,0.0192621310510059
"F","no","adult",14,"mass",21.4899990684608,0.00497302945934186
"F","no","adult",15,"growth",0.269843143093154,0.0146094296538743
"F","no","adult",15,"mass",21.510027720036,0.0040175684304531
"F","no","adult",16,"growth",0.230020181659954,0.0118466983345449
"F","no","adult",16,"mass",21.5200282926694,0.00297934917668605
"F","no","adult",17,"growth",0.199884394764768,0.00894494642650637
"F","no","adult",17,"mass",21.5299155510999,0.00301464362315874
"F","no","adult",18,"growth",0.170028971606315,0.00807494830050352
"F","no","adult",18,"mass",21.5399699000598,0.00200512890721956
"F","no","adult",19,"growth",0.144510404129071,0.00595998470833537
"F","no","adult",19,"mass",21.5400000801249,0.0020054278341136
"F","no","juvenile",1,"growth",75.4862349131382,15.7127455925732
"F","no","juvenile",1,"mass",15.8162546547904,1.05131066328197
"F","no","pup",0,"growth",107.880812069402,29.3758549385486
"F","no","pup",0,"mass",10.6675011353562,2.13898471378022
"F","yes","adult",2,"MR_rest",14.0590242585674,2.55269385855817
"F","yes","adult",2,"act_budg_active",6.44129450974621,1.68251726789328
"F","yes","adult",2,"act_budg_forage",44.7797496769129,7.88757655327375
"F","yes","adult",2,"act_budg_rest",52.0413553411498,11.0045380956637
"F","yes","adult",2,"growth",38.3703654798162,7.61908478383948
"F","yes","adult",2,"mass",18.3825013143467,0.532812939940292
"F","yes","adult",3,"growth",20.2126532417015,3.76322633305412
"F","yes","adult",3,"mass",19.6984243592098,0.280510296450688
"F","yes","adult",4,"growth",11.1245143085254,1.92431252557335
"F","yes","adult",4,"mass",20.3998746222118,0.155895766723217
"F","yes","adult",5,"growth",6.42509040175634,1.01383885065463
"F","yes","adult",5,"mass",20.7981686089404,0.0909379030905347
"F","yes","adult",6,"growth",3.87508560697489,0.558162118339934
"F","yes","adult",6,"mass",21.0400650788152,0.0542023739714502
"F","yes","adult",7,"growth",2.46914945308244,0.319454329897229
"F","yes","adult",7,"mass",21.1802102331758,0.0352228170059461
"F","yes","adult",8,"growth",1.648865847745,0.187471281594661
"F","yes","adult",8,"mass",21.279986955487,0.023850455659183
"F","yes","adult",9,"growth",1.16000829211428,0.117157881954516
"F","yes","adult",9,"mass",21.3397974448314,0.0170240201866722
"F","yes","adult",10,"growth",0.848905918689182,0.0747572606779463
"F","yes","adult",10,"mass",21.3900799886699,0.0120219997449311
"F","yes","adult",11,"growth",0.639814069357514,0.0501322630441187
"F","yes","adult",11,"mass",21.429881684235,0.00893324011148653
"F","yes","adult",12,"growth",0.499982545744037,0.0352321113170147
"F","yes","adult",12,"mass",21.4499978753841,0.00693274334337884
"F","yes","adult",13,"growth",0.400279421741693,0.0262155909953552
"F","yes","adult",13,"mass",21.469938911042,0.00604882729630095
"F","yes","adult",14,"growth",0.329821458158293,0.0191706352361382
"F","yes","adult",14,"mass",21.4899962375367,0.00499840861709416
"F","yes","adult",15,"growth",0.269954159495535,0.0146187250394714
"F","yes","adult",15,"mass",21.5099933008466,0.00397799604092678
"F","yes","adult",16,"growth",0.229841250391903,0.0120439157711768
"F","yes","adult",16,"mass",21.51999771722,0.00300817190111247
"F","yes","adult",17,"growth",0.199861501378462,0.00894047632172727
"F","yes","adult",17,"mass",21.5299928592533,0.00300692794753855
"F","yes","adult",18,"growth",0.170149516321697,0.00800488911604693
"F","yes","adult",18,"mass",21.5400065958643,0.00202337856833756
"F","yes","adult",19,"growth",0.144542571515527,0.00599417449944823
"F","yes","adult",19,"mass",21.5400012503088,0.00197488962143075
"M","no","adult",3,"MR_active",27.8382022970385,2.9506455721203
"M","no","adult",3,"MR_forage",21.5944810540962,1.68337716899947
"M","no","adult",3,"MR_rest",13.292737053702,0.904682318778354
"M","no","adult",3,"act_budg_active1",8.36320961375091,6.77730424103508
"M","no","adult",3,"act_budg_active2",8.97406214193791,1.89975523029087
"M","no","adult",3,"act_budg_active3",7.21958971672715,5.72316437169925
"M","no","adult",3,"act_budg_forage",35.830062344155,7.37443997585172
"M","no","adult",3,"act_budg_rest",39.6755423034125,7.8068071229493
"M","no","adult",3,"growth",38.9846354329325,5.59010365370863
"M","no","adult",3,"mass",25.6331837966799,0.550407922773425
"M","no","adult",4,"growth",24.2403795432871,3.43344371707648
"M","no","adult",4,"mass",27.0908851843766,0.247132423295355
"M","no","adult",5,"growth",15.178609878991,2.11659386113952
"M","no","adult",5,"mass",27.9973102113303,0.214806430640131
"M","no","adult",6,"growth",9.61868496475455,1.34398111852521
"M","no","adult",6,"mass",28.582369978209,0.135614252266869
"M","no","adult",7,"growth",6.08964096252385,0.833634683745428
"M","no","adult",7,"mass",28.9390395042873,0.0875499226173703
"M","no","adult",8,"growth",3.88990235369392,0.518580791382501
"M","no","adult",8,"mass",29.169974253796,0.0543790581719687
"M","no","adult",9,"growth",2.49546546845167,0.330420214132493
"M","no","adult",9,"mass",29.3201324681484,0.0360417698326344
"M","no","adult",10,"growth",1.61164810430829,0.212807605625883
"M","no","adult",10,"mass",29.410188106833,0.0232163917070943
"M","no","adult",11,"growth",1.04048946037661,0.135248482828567
"M","no","adult",11,"mass",29.4699730263979,0.0151308423002168
"M","no","adult",12,"growth",0.677658710153451,0.0867517687117449
"M","no","adult",12,"mass",29.5101291878295,0.00955791840321612
"M","no","adult",13,"growth",0.450035993717151,0.567604361834669
"M","no","adult",13,"mass",29.5400155823264,0.00595680985241225
"M","no","adult",14,"growth",0.289171242307971,0.0368585673220328
"M","no","adult",14,"mass",29.5599672954388,0.00399802240611234
"M","no","adult",15,"growth",0.189968119908281,0.0237306078023836
"M","no","adult",15,"mass",29.5699449443869,0.00302946895117262
"M","no","adult",16,"growth",0.130050040734742,0.0160244980472204
"M","no","adult",16,"mass",29.5800451960407,0.00200122651911602
"M","no","adult",17,"growth",0.090133781145368,0.0104748690033377
"M","no","adult",17,"mass",29.5800115563149,0.000990293555527582
"M","no","adult",18,"growth",0.0599122699510516,0.00701293098615985
"M","no","adult",18,"mass",29.5800046607153,0.00100049680718778
"M","no","adult",19,"growth",0.0399396119378222,0.00502490198485328
"M","no","adult",19,"mass",29.5900000551774,0.00050265484210388
"M","no","juvenile",1,"growth",102.556832700321,15.1739650534573
"M","no","juvenile",1,"mass",19.4783442861489,1.45109355357497
"M","no","pup",0,"growth",124.86373577106,22.1896507587234
"M","no","pup",0,"mass",13.2581238054697,2.35371849017364
"M","no","subadult",2,"growth",63.8729655578388,9.17125227267839
"M","no","subadult",2,"mass",23.2989071209985,0.908254325074769
"j","no","juvenile",1,"MR_active",1.20665507456643,0.751684643724404
"j","no","juvenile",1,"MR_forage",3.99031671914106,1.7890522739042
"j","no","juvenile",1,"MR_rest",1.667064139763,0.972963674884134
"j","no","juvenile",1,"act_budg_active1",7.01350779467259,5.21851712518584
"j","no","juvenile",1,"act_budg_active2",15.8934496682244,7.49707395242523
"j","no","juvenile",1,"act_budg_active3",5.02986891680061,5.02511049430032
"j","no","juvenile",1,"act_budg_forage",41.5269123656398,17.3856123187004
"j","no","juvenile",1,"act_budg_rest1",29.022790414115,16.4025966492269
"j","no","juvenile",1,"act_budg_rest2",1.56404401806724,2.59390296580203
"p","no","pup",0,"MR_active",0.859459558821485,0.819537533570298
"p","no","pup",0,"MR_forage",1.54016307704367,1.86936425152875
"p","no","pup",0,"MR_rest",1.22280175444079,1.01294530167378
"p","no","pup",0,"act_budg_active1",5.93820539850306,6.15041444646612
"p","no","pup",0,"act_budg_active2",8.14343038164371,11.6206747912031
"p","no","pup",0,"act_budg_active3",1.4042723639347,2.79427157897944
"p","no","pup",0,"act_budg_forage",20.3563770670036,22.3431435231882
"p","no","pup",0,"act_budg_rest1",9.44710221569299,16.935858735603
"p","no","pup",0,"act_budg_rest2",29.307709342193,21.767178822166
"p","no","pup",0,"act_budg_rest3",5.51527317464877,8.51216505155636
"p","no","pup",0,"act_budg_rest4",8.47571214346609,10.0639124312408
"p","no","pup",0,"act_budg_rest5",8.58158951980774,10.3727698689955
"p","no","pup",0,"act_budg_rest6",2.96744603573182,3.76769692761296
