Age,Av_mass,Growth,Sex,stdev_mass,stdev_growth
0,10.71,107.918,F,2.161,29.466
1,15.83,75.576,F,1.059,15.87
2,18.38,38.319,F,0.538,7.622
3,19.69,20.203,F,0.285,3.771
4,20.4,11.117,F,0.157,1.926
5,20.8,6.407,F,0.091,1.018
6,21.04,3.878,F,0.055,0.558
7,21.18,2.468,F,0.035,0.317
8,21.28,1.651,F,0.024,0.188
9,21.34,1.157,F,0.017,0.117
10,21.39,0.846,F,0.012,0.075
11,21.43,0.641,F,0.009,0.05
12,21.45,0.501,F,0.007,0.035
13,21.47,0.402,F,0.006,0.026
14,21.49,0.329,F,0.005,0.019
15,21.51,0.273,F,0.004,0.0147
16,21.52,0.230,F,0.003,0.012
17,21.53,0.195,F,0.003,0.009
18,21.54,0.168,F,0.002,0.008
19,21.54,0.145,F,0.002,0.006
0,13.24,124.880,M,2.387,22.31
1,19.47,102.460,M,1.455,15.2
2,23.28,63.976,M,0.894,9.195
3,25.63,38.935,M,0.554,5.606
4,27.09,24.254,M,0.245,3.44
5,28,15.207,M,0.216,2.13
6,28.58,9.593,M,0.137,1.33
7,28.94,6.088,M,0.0867,0.831
8,29.17,3.885,M,0.055,0.524
9,29.32,2.493,M,0.036,0.332
10,29.41,1.608,M,0.023,0.211
11,29.47,1.043,M,0.015,0.136
12,29.51,0.679,M,0.0096,0.087
13,29.54,0.445,M,0.006,0.566
14,29.56,0.292,M,0.004,0.037
15,29.57,0.193,M,0.003,0.024
16,29.58,0.128,M,0.002,0.016
17,29.58,0.085,M,0.001,0.0104
18,29.58,0.057,M,0.001,0.007
19,29.59,0.038,M,0.0005,0.005
