Age,Av_mass,Growth,Sex,with.pup,stdev_mass,stdev_growth
0,10.71,107.918,F,no,2.161,29.466
1,15.83,75.576,F,no,1.059,15.87
2,18.38,38.319,F,no,0.538,7.622
3,19.69,20.203,F,no,0.285,3.771
4,20.4,11.117,F,no,0.157,1.926
5,20.8,6.407,F,no,0.091,1.018
6,21.04,3.878,F,no,0.055,0.558
7,21.18,2.468,F,no,0.035,0.317
8,21.28,1.651,F,no,0.024,0.188
9,21.34,1.157,F,no,0.017,0.117
10,21.39,0.846,F,no,0.012,0.075
11,21.43,0.641,F,no,0.009,0.05
12,21.45,0.501,F,no,0.007,0.035
13,21.47,0.402,F,no,0.006,0.026
14,21.49,0.329,F,no,0.005,0.019
15,21.51,0.273,F,no,0.004,0.0147
16,21.52,0.23,F,no,0.003,0.012
17,21.53,0.195,F,no,0.003,0.009
18,21.54,0.168,F,no,0.002,0.008
19,21.54,0.145,F,no,0.002,0.006
0,13.24,124.88,M,no,2.387,22.31
1,19.47,102.46,M,no,1.455,15.2
2,23.28,63.976,M,no,0.894,9.195
3,25.63,38.935,M,no,0.554,5.606
4,27.09,24.254,M,no,0.245,3.44
5,28,15.207,M,no,0.216,2.13
6,28.58,9.593,M,no,0.137,1.33
7,28.94,6.088,M,no,0.0867,0.831
8,29.17,3.885,M,no,0.055,0.524
9,29.32,2.493,M,no,0.036,0.332
10,29.41,1.608,M,no,0.023,0.211
11,29.47,1.043,M,no,0.015,0.136
12,29.51,0.679,M,no,0.0096,0.087
13,29.54,0.445,M,no,0.006,0.566
14,29.56,0.292,M,no,0.004,0.037
15,29.57,0.193,M,no,0.003,0.024
16,29.58,0.128,M,no,0.002,0.016
17,29.58,0.085,M,no,0.001,0.0104
18,29.58,0.057,M,no,0.001,0.007
19,29.59,0.038,M,no,0.0005,0.005
2,18.38,38.319,F,yes,0.538,7.622
3,19.69,20.203,F,yes,0.285,3.771
4,20.4,11.117,F,yes,0.157,1.926
5,20.8,6.407,F,yes,0.091,1.018
6,21.04,3.878,F,yes,0.055,0.558
7,21.18,2.468,F,yes,0.035,0.317
8,21.28,1.651,F,yes,0.024,0.188
9,21.34,1.157,F,yes,0.017,0.117
10,21.39,0.846,F,yes,0.012,0.075
11,21.43,0.641,F,yes,0.009,0.05
12,21.45,0.501,F,yes,0.007,0.035
13,21.47,0.402,F,yes,0.006,0.026
14,21.49,0.329,F,yes,0.005,0.019
15,21.51,0.273,F,yes,0.004,0.0147
16,21.52,0.23,F,yes,0.003,0.012
17,21.53,0.195,F,yes,0.003,0.009
18,21.54,0.168,F,yes,0.002,0.008
19,21.54,0.145,F,yes,0.002,0.006
